"id","form_name","form_definition"
28,"Property Listing Form","{""fields"": [{""id"": 1, ""name"": ""propertyName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Property Name""}, {""id"": 2, ""name"": ""address"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Address""}, {""id"": 3, ""name"": ""price"", ""type"": ""number"", ""required"": true, ""placeholder"": ""Price""}, {""id"": 4, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Contact Email""}, {""id"": 5, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Contact Phone""}, {""id"": 6, ""name"": ""propertyType"", ""type"": ""select"", ""options"": [""House"", ""Apartment"", ""Commercial""], ""required"": true, ""placeholder"": ""Property Type""}, {""id"": 7, ""name"": ""furnished"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Furnished""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""listingDate"", ""type"": ""date"", ""placeholder"": ""Listing Date""}]}"
29,"Charity Donation Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 5, ""name"": ""donationAmount"", ""type"": ""number"", ""required"": true, ""placeholder"": ""Donation Amount""}, {""id"": 6, ""name"": ""paymentMethod"", ""type"": ""select"", ""options"": [""Credit Card"", ""PayPal"", ""Bank Transfer""], ""required"": true, ""placeholder"": ""Payment Method""}, {""id"": 7, ""name"": ""anonymous"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Donate Anonymously""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""donationDate"", ""type"": ""date"", ""placeholder"": ""Donation Date""}]}"
30,"Pet Adoption Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""petType"", ""type"": ""select"", ""options"": [""Dog"", ""Cat"", ""Other""], ""required"": true, ""placeholder"": ""Pet Type""}, {""id"": 7, ""name"": ""gender"", ""type"": ""radio"", ""options"": [""Male"", ""Female"", ""Other""], ""placeholder"": ""Gender""}, {""id"": 8, ""name"": ""newsletter"", ""type"": ""checkbox"", ""placeholder"": ""Subscribe to newsletter?""}, {""id"": 9, ""name"": ""password"", ""type"": ""password"", ""required"": true, ""placeholder"": ""Create Password""}]}"
31,"Driver Registration Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""licenseNumber"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Drivers License Number""}, {""id"": 4, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 5, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 6, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 7, ""name"": ""vehicleType"", ""type"": ""select"", ""options"": [""Car"", ""Motorcycle"", ""Truck""], ""placeholder"": ""Vehicle Type""}, {""id"": 8, ""name"": ""insurance"", ""type"": ""checkbox"", ""placeholder"": ""Do you have insurance?""}]}"
32,"Visitor Feedback Form","{""fields"": [{""id"": 1, ""name"": ""name"", ""type"": ""text"", ""placeholder"": ""Your Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Your Email""}, {""id"": 3, ""name"": ""visitDate"", ""type"": ""date"", ""placeholder"": ""Date of Visit""}, {""id"": 4, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""placeholder"": ""Rating""}, {""id"": 5, ""name"": ""comments"", ""type"": ""textarea"", ""placeholder"": ""Your Comments""}]}"
33,"Client Satisfaction Survey","{""fields"": [{""id"": 1, ""name"": ""clientName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Client Name""}, {""id"": 2, ""name"": ""serviceUsed"", ""type"": ""select"", ""options"": [""Consulting"", ""Support"", ""Development""], ""required"": true, ""placeholder"": ""Service Used""}, {""id"": 3, ""name"": ""satisfactionLevel"", ""type"": ""radio"", ""options"": [""Very Satisfied"", ""Satisfied"", ""Neutral"", ""Unsatisfied"", ""Very Unsatisfied""], ""required"": true, ""placeholder"": ""Satisfaction Level""}, {""id"": 4, ""name"": ""feedback"", ""type"": ""textarea"", ""placeholder"": ""Your Feedback""}]}"
34,"Travel Booking Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""travelDate"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Travel Date""}, {""id"": 5, ""name"": ""destination"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Destination""}, {""id"": 6, ""name"": ""travelMode"", ""type"": ""select"", ""options"": [""Airplane"", ""Train"", ""Bus""], ""placeholder"": ""Mode of Travel""}]}"
35,"Volunteer Application Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""availability"", ""type"": ""select"", ""options"": [""Weekdays"", ""Weekends"", ""Both""], ""placeholder"": ""Availability""}]}"
36,"Fitness Assessment Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""fitnessGoals"", ""type"": ""textarea"", ""placeholder"": ""Fitness Goals""}]}"
37,"Product Return Form","{""fields"": [{""id"": 1, ""name"": ""orderId"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Order ID""}, {""id"": 2, ""name"": ""productName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Product Name""}, {""id"": 3, ""name"": ""purchaseDate"", ""type"": ""date"", ""placeholder"": ""Purchase Date""}, {""id"": 4, ""name"": ""reason"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Reason for Return""}, {""id"": 5, ""name"": ""refundMethod"", ""type"": ""select"", ""options"": [""Store Credit"", ""Original Payment Method""], ""placeholder"": ""Refund Method""}]}"
38,"University Application Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""course"", ""type"": ""select"", ""options"": [""Computer Science"", ""Business"", ""Engineering"", ""Arts""], ""placeholder"": ""Course""}]}"
39,"Tenant Application Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Current Address""}, {""id"": 6, ""name"": ""employmentStatus"", ""type"": ""select"", ""options"": [""Employed"", ""Self-Employed"", ""Unemployed""], ""placeholder"": ""Employment Status""}, {""id"": 7, ""name"": ""monthlyIncome"", ""type"": ""number"", ""placeholder"": ""Monthly Income""}]}"
40,"Business Contact Form","{""fields"": [{""id"": 1, ""name"": ""companyName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Company Name""}, {""id"": 2, ""name"": ""contactPerson"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Contact Person""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Company Address""}, {""id"": 6, ""name"": ""industry"", ""type"": ""select"", ""options"": [""Technology"", ""Healthcare"", ""Finance"", ""Retail""], ""placeholder"": ""Industry""}]}"
41,"Job Referral Form","{""fields"": [{""id"": 1, ""name"": ""referrerName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Referrer Name""}, {""id"": 2, ""name"": ""referrerEmail"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Referrer Email""}, {""id"": 3, ""name"": ""candidateName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Candidate Name""}, {""id"": 4, ""name"": ""candidateEmail"", ""type"": ""email"", ""placeholder"": ""Candidate Email""}, {""id"": 5, ""name"": ""position"", ""type"": ""text"", ""placeholder"": ""Position""}, {""id"": 6, ""name"": ""relation"", ""type"": ""textarea"", ""placeholder"": ""Relation to Candidate""}]}"
42,"Event Sponsorship Form","{""fields"": [{""id"": 1, ""name"": ""sponsorName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Sponsor Name""}, {""id"": 2, ""name"": ""contactPerson"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Contact Person""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""sponsorshipLevel"", ""type"": ""select"", ""options"": [""Gold"", ""Silver"", ""Bronze""], ""placeholder"": ""Sponsorship Level""}]}"
43,"Restaurant Reservation Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""reservationDate"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Reservation Date""}, {""id"": 5, ""name"": ""time"", ""type"": ""text"", ""placeholder"": ""Reservation Time""}, {""id"": 6, ""name"": ""numberOfGuests"", ""type"": ""number"", ""placeholder"": ""Number of Guests""}]}"
44,"Loan Application Form","{""fields"": [{""id"": 1, ""name"": ""applicantName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Applicant Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""loanAmount"", ""type"": ""number"", ""required"": true, ""placeholder"": ""Loan Amount""}, {""id"": 7, ""name"": ""loanPurpose"", ""type"": ""textarea"", ""placeholder"": ""Purpose of Loan""}]}"
45,"School Admission Form","{""fields"": [{""id"": 1, ""name"": ""studentName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Student Name""}, {""id"": 2, ""name"": ""dob"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Birth""}, {""id"": 3, ""name"": ""parentName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Parent/Guardian Name""}, {""id"": 4, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Parent/Guardian Email""}, {""id"": 5, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Parent/Guardian Phone Number""}, {""id"": 6, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Home Address""}, {""id"": 7, ""name"": ""grade"", ""type"": ""select"", ""options"": [""Kindergarten"", ""Grade 1"", ""Grade 2"", ""Grade 3"", ""Grade 4"", ""Grade 5""], ""placeholder"": ""Grade""}]}"
46,"Real Estate Inquiry Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""propertyType"", ""type"": ""select"", ""options"": [""House"", ""Apartment"", ""Commercial""], ""required"": true, ""placeholder"": ""Property Type""}, {""id"": 5, ""name"": ""budget"", ""type"": ""number"", ""placeholder"": ""Budget""}, {""id"": 6, ""name"": ""moveInDate"", ""type"": ""date"", ""placeholder"": ""Preferred Move-in Date""}, {""id"": 7, ""name"": ""comments"", ""type"": ""textarea"", ""placeholder"": ""Additional Comments""}]}"
47,"Donation Request Form","{""fields"": [{""id"": 1, ""name"": ""organizationName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Organization Name""}, {""id"": 2, ""name"": ""contactPerson"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Contact Person""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""address"", ""type"": ""textarea"", ""placeholder"": ""Address""}, {""id"": 6, ""name"": ""donationAmount"", ""type"": ""number"", ""required"": true, ""placeholder"": ""Requested Donation Amount""}, {""id"": 7, ""name"": ""purpose"", ""type"": ""textarea"", ""placeholder"": ""Purpose of Donation""}]}"
48,"Service Request Form","{""fields"": [{""id"": 1, ""name"": ""fullName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Full Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 3, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 4, ""name"": ""serviceType"", ""type"": ""select"", ""options"": [""Installation"", ""Repair"", ""Maintenance""], ""required"": true, ""placeholder"": ""Service Type""}, {""id"": 5, ""name"": ""preferredDate"", ""type"": ""date"", ""placeholder"": ""Preferred Service Date""}, {""id"": 6, ""name"": ""comments"", ""type"": ""textarea"", ""placeholder"": ""Additional Comments""}]}"
49,"Insurance Claim Form","{""fields"": [{""id"": 1, ""name"": ""claimantName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Claimant Name""}, {""id"": 2, ""name"": ""policyNumber"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Policy Number""}, {""id"": 3, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Email""}, {""id"": 4, ""name"": ""phone"", ""type"": ""text"", ""placeholder"": ""Phone Number""}, {""id"": 5, ""name"": ""incidentDate"", ""type"": ""date"", ""required"": true, ""placeholder"": ""Date of Incident""}, {""id"": 6, ""name"": ""incidentDescription"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Description of Incident""}, {""id"": 7, ""name"": ""claimAmount"", ""type"": ""number"", ""placeholder"": ""Claim Amount""}]}"
50,"Workshop Feedback Form","{""fields"": [{""id"": 1, ""name"": ""workshopName"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Workshop Name""}, {""id"": 2, ""name"": ""email"", ""type"": ""email"", ""required"": true, ""placeholder"": ""Your Email""}, {""id"": 3, ""name"": ""rating"", ""type"": ""select"", ""options"": [""1"", ""2"", ""3"", ""4"", ""5""], ""placeholder"": ""Rating""}, {""id"": 4, ""name"": ""comments"", ""type"": ""textarea"", ""required"": true, ""placeholder"": ""Your Comments""}, {""id"": 5, ""name"": ""recommend"", ""type"": ""radio"", ""options"": [""Yes"", ""No""], ""placeholder"": ""Would you recommend this workshop?""}]}"
